,text_id,model_description,prompt,generated_text,diversity,coherence
0,0,_ssd0_data_fast-llm_opt-13b__beam_1_,Baseball game suspended after three injured in shooting outside Washington Nationals–San Diego Padres game Collaborate! South Africa convincingly beat Australia by 9 wickets in the second cricket test being played at the," Wanderers on Tuesday, wrapping up a 3-0 series whitewash and staying on course to regain the Border–Gavaskar Trophy.

South Africa convincingly beat Australia by 9 wickets in the second cricket test being played at the Wanderers on Tuesday, wrapping up a 3-0 series whitewash and staying on course to regain the Border–Gavaskar Trophy. The Wanderers Wanderers Wanderers Wanderers. The Wanderers.

South Africa convinc",0.37653730389000006,0.6756594181060791
1,1,_ssd0_data_fast-llm_opt-13b__beam_1_,"GitHub blocks public access to youtube-dl after RIAA issues DMCA notice Location of Germany Collaborate! Philipp Freiherr von Boeselager, the last surviving member of a cabal that on July 20, 1944 attempted"," a coup to seize the Fuehrerbunker, Hitler’s underground command post. On that fateful day, Freiherr von Boeselager’s superior officer, Field Marshall Keitel, shot von Boeselager. Von Boeselager had the dubious distinction of being the highest ranked officer executed in the bunker that day, as Hitler ordered Field Marshall Keitel to execute von Boeselager to send a clear signal to his conspirators,",0.9831,0.4355565309524536
2,2,_ssd0_data_fast-llm_opt-13b__beam_1_,"Wikinews interviews Lindsay Love, Tarwin Valley ward candidate in South Gippsland, Australia Collaborate! New research based on data gathered on approximately 28,000 individuals over a 16-year period indicates that even as more"," and more of the population works from home, we’re getting lonelier. This finding was based on two independent analyses. The first used the Personal Networks Questionnaire, an inventory used to evaluate one’s network, or the web of social ties one has, over the last 5 years, with an additional follow up of a network from 1996-97. The second used an inventory that assessed a person’s sense of well being. In the second analysis, loneliness was assessed",0.9865,0.4873628616333008
3,3,_ssd0_data_fast-llm_opt-13b__beam_1_,"European Medicines Agency calls AstraZeneca vaccine ""safe and effective"" Location of Europe Collaborate! The proposed Anti-Counterfeiting Trade Agreement (ACTA) was defeated in a plenary session of the European Parliament with 478 votes"," in favour, 254 votes against, and 135 abstentions. ACTA has been roundly denounced as an assault on civil liberties. ACTA has been roundly denounced as an assault on civil liberties. Location: The Hague, the Netherlands Location of Europe Collaborate! In an important development, a Spanish judge has issued an international arrest warrant against Jose Manuel Villarejo, the disgraced head of Spain’s Anti-Corruption Intelligence Corps, or CNI, on suspicion that he b",0.6533037196560001,0.43476155400276184
4,4,_ssd0_data_fast-llm_opt-13b__beam_1_,"HuffPo American Foundation for Children with AIDS 1.jpg ""AFCA has received tremendous support from the climbing community around the world,"" Tanya Weaver, executive director of the AFCA, said. ""We think the challenge"," is an outstanding opportunity for climbers to do good. Climbers have the drive, determination, and physical conditioning to meet these physical goals, and this event is a chance for climbers to prove to the climbing world that we have their best interest at heart. Climbers and climbing gyms from all over the country have stepped up and said, 'This is the right thing to do. Let's raise some money, climb hard, and climb often to raise the most money and climb as often as we can",0.9527284,0.5674263834953308
5,5,_ssd0_data_fast-llm_opt-13b__beam_1_,"Wednesday, October 4, 2006 Roger D. Kornberg of Stanford University won the 2006 Nobel Prize for chemistry ""for his studies of the molecular basis of eukaryotic transcription"". Kornberg's prize-winning work explains how"," messenger RNA is packaged in a nucleus for transcription, a process by which messenger RNA is transcribed to make messenger DNA that codes for a protein. Messenger RNA, a double-stranded nucleic acid, has to be packaged and packaged proteins need to be packaged. Messenger RNA has a complementary strand and messenger DNA has a complementary strand, and messenger proteins and messenger RNAs have the same 3'-termini, and messenger RNAs need to be packaged. Messenger RNAs have a hairpin loop,",0.7218671384760001,0.3183896243572235
6,6,_ssd0_data_fast-llm_opt-13b__beam_1_,"Monday, May 14, 2007 The head of the Taliban, Mullah Omar, has declared that ""his same type of jihad"" will not cease. Furthermore, the demise of Mullah Dadullah ""won't create problems for"," the Taliban, and he has said the Taliban are united under Mullah Omar, the spiritual leader, who has issued the fatwa ordering suicide bombers,"" the Los Angeles Times reports. The New York Times notes, however, that Mullah Omar is a man in the twilight of his years:

He was in his 50's in 1992, when the Taliban captured Kabul. At 72, he has lost weight. A Pakistani doctor once treated him for hepatitis B. In 2000, Mullah Omar had",0.961,0.5385551452636719
7,7,_ssd0_data_fast-llm_opt-13b__beam_1_,"No. I don't see myself as an athlete. Legally we are the athlete. If I fail, she fails. We ski the exact same course. But there's some idiosyncrasies associated with it. Because"," it's the Olympics. The course is a little longer.

She was skiing it. It's an individual race, it's the Olympic games, the Olympics is an individual race, the course is the Olympic course, you ski the Olympic course, that's an Olympic athlete, the IOC has deemed her to be an Olympic athlete and the course is longer, you have a little more room. That's about the way it's laid out for me and the way it's laid out for her",0.6829223291550001,0.6137679815292358
8,8,_ssd0_data_fast-llm_opt-13b__beam_1_,"""While there was evidence that twenty females had become pregnant between the ages of thirteen and seventeen, there was no evidence regarding the marital status of these girls when they became pregnant",", the marital status of the men with whom the girls became pregnant, the marital status of the girls' husbands, the paternity of the infants, the race, religion, ethnicity, and educational attainment of the males with whom the girls became pregnant, the marital status and living arrangements of the infants, the race, religion, and ethnic backgrounds of the infants, and the infants' marital status at the time they were born. Although the CPSA identified forty-one births for the girls and eighteen live births",0.5007704,0.5087826251983643
9,9,_ssd0_data_fast-llm_opt-13b__beam_1_,"Canada, EU, UK, US impose sanctions on Belarus over Ryanair hijacking Location of the United Kingdom Collaborate! More than 400 senior managers within the United Kingdom's BBC, which employs around 28,500 people,"," will see a 3.75 per cent pay cut this year, with those on over £150,000 to take the largest cuts, it was reported this week.",1.0,0.3506348133087158
10,10,_ssd0_data_fast-llm_opt-13b__beam_1_,"""People put their trust in Oxfam and we betrayed that trust. What happened was a disgrace and we are absolutely committed to rooting out abuse across the organisation. [...] These problems cannot"," be dealt with on our own and that is why Oxfam has called in the Charity Commission, who have opened an inquiry, to get to the truth as to what has gone on, so we can act to stamp this kind of abuse out for good.”",1.0,0.6728766560554504
11,11,_ssd0_data_fast-llm_opt-13b__beam_1_,"Thursday, July 26, 2018 United Nations United Nations on Wikinews Glasgow Climate Pact deal struck; nations to reduce coal usage US, South Korean special envoys explore reopening talks with North Korea at"," Security Council The US has threatened to leave the Paris Climate Accord and announced the United States intends to withdraw from the landmark climate accord, however the agreement could survive, the Guardian reports. On the day, a draft accord has been reached.

United Nations The Guardian Climate Pact deal struck; nations to reduce coal usage A landmark accord was agreed at the COP23 UN Climate Conference in Bonn. Countries have committed to keeping the increase in average world surface temperatures well below 2C, with an aspirational",1.0,0.6942411661148071
12,12,_ssd0_data_fast-llm_opt-13b__beam_1_,"Saturday, September 10, 2005 Saudi Arabia signed on Friday a trade agreement with the United States, which was considered to be one the last major hurdles to the World Trade Organisation membership",".

Saudi Foreign Minister Saud Al Faisal told the closing session of the ministerial conference in Sharm El Sheik, that the Saudi-U.S. Free Trade Agreement is in conformity with WTO's General Agreement on Tariffs and Trade, GATT and is of major significance.

Saudi Arabia said on Saturday the WTO was the main engine to open the Arab markets, the Gulf News daily quoted Minister of Industry, Investment and Minerals Saleh Bin Saad Al Suwaid",1.0,0.7111164927482605
